"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Supplier reference";"Reference";"EAN13";"UPC";"Wholesale price";"Impact on price";"Ecotax";"Quantity";"Minimal quantity";"Impact on weight";"Default (0 = No, 1 = Yes)";"Combination available date";"Image position";"Image URL";"Delete existing images (0 = No, 1 = Yes)";"ID / Name of shop";"Advanced Stock Managment";"Depends on stock";"Warehouse"
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#90cm:1#Noir:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#90cm:1#Rouge:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#90cm:1#Gris:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#110cm:1#Vert:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#110cm:1#Noir:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#110cm:1#Rouge:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#110cm:1#Gris:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#130cm:1#Vert:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#130cm:1#Noir:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#130cm:1#Rouge:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Rond:0#130cm:1#Gris:2";;"ERA_COVER_ROND";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#95cm:1#Vert:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#95cm:1#Noir:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#95cm:1#Rouge:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#95cm:1#Gris:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#115cm:1#Vert:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#115cm:1#Noir:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#115cm:1#Rouge:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
14;"Forme:select:0#Taille:select:2#Couleur:select:1";"Carré:0#115cm:1#Gris:2";;"ERA_COVER_CARRE";;;;;;0;;0;0;;0;;0;0;0;0;
15;"Taille:select:0#Couleur:select:1";"2.00m:0#Blanc:1";;"ERA_GARDEN_LOISIR";;;;;;0;;0;0;;0;;0;0;0;0;
15;"Taille:select:0#Couleur:select:1";"2.70m:0#Vert:1";;"ERA_GARDEN_PREMIUM";;;;;;0;;0;0;;0;;0;0;0;0;
16;"Modèle:select:0";"First:0";;"ERA_FUN_FIRST";;;;;;0;;0;0;;0;;0;0;0;0;
16;"Modèle:select:0";"Game:0";;"ERA_FUN_GAME";;;;;;0;;0;0;;0;;0;0;0;0;
16;"Modèle:select:0";"Target:0";;"ERA_FUN_TARGET";;;;;;0;;0;0;;0;;0;0;0;0;
16;"Modèle:select:0";"HousseFirst:0";;"ERA_FUN_FIRST_HOU";;;;;;0;;0;0;;0;;0;0;0;0;
16;"Modèle:select:0";"Housse Game:0";;"ERA_FUN_GAME_HOU";;;;;;0;;0;0;;0;;0;0;0;0;
